ProductId,Country,Score,DealerPrice,Markup,ListPrice,Province,Region_1,Region_2,Title,Vintage,Variety,Winery,Year
21088,Italy,95,44,1.4,62,Tuscany,Toscana,,Felsina 2010 Fontalloro Sangiovese (Toscana),2010,Sangiovese,Felsina,2010
21090,Italy,95,142,1.4,200,Tuscany,Brunello di Montalcino,,Biondi Santi 2008  Brunello di Montalcino,2008,Sangiovese,Biondi Santi,2008
21091,Italy,95,78,1.4,110,Piedmont,Barbaresco,,Giuseppe Cortese 2006 Rabajà Riserva  (Barbaresco),2006,Nebbiolo,Giuseppe Cortese,2006
21093,Italy,95,75,1.4,105,Tuscany,Toscana,,Marchesi Antinori 2010 Tignanello Red (Toscana),2010,Red Blend,Marchesi Antinori,2010
21717,Italy,96,61,1.3,80,Piedmont,Barolo,,Cordero di Montezemolo 2007 Bricco Gattera  (Barolo),2007,Nebbiolo,Cordero di Montezemolo,2007
21724,Italy,95,96,1.4,135,Piedmont,Barolo,,Marchesi di Barolo 2007 Cannubi  (Barolo),2007,Nebbiolo,Marchesi di Barolo,2007
21727,Italy,95,46,1.4,65,Piedmont,Barolo,,Pio Cesare 2007  Barolo,2007,Nebbiolo,Pio Cesare,2007
25327,Italy,95,85,1.4,120,Tuscany,Brunello di Montalcino,,Siro Pacenti 2006 Riserva  (Brunello di Montalcino),2006,Sangiovese Grosso,Siro Pacenti,2006
25328,Italy,95,43,1.4,61,Tuscany,Brunello di Montalcino,,Tenimenti Angelini 2007 Val di Suga  (Brunello di Montalcino),2007,Sangiovese Grosso,Tenimenti Angelini,2007
25329,Italy,95,53,1.4,75,Tuscany,Brunello di Montalcino,,Verbena 2006 Riserva  (Brunello di Montalcino),2006,Sangiovese Grosso,Verbena,2006
25330,Italy,95,35,1.4,50,Tuscany,Brunello di Montalcino,,Casanova di Neri 2007  Brunello di Montalcino,2007,Sangiovese Grosso,Casanova di Neri,2007
25331,Italy,95,53,1.4,75,Tuscany,Brunello di Montalcino,,Castelgiocondo 2007  Brunello di Montalcino,2007,Sangiovese Grosso,Castelgiocondo,2007
25332,Italy,95,107,1.4,150,Tuscany,Brunello di Montalcino,,Castello Banfi 2006 Poggio all'Oro Riserva  (Brunello di Montalcino),2006,Sangiovese Grosso,Castello Banfi,2006
